,No.,Time,Source,Destination,Protocol,Length,Info,Info_01,Commands,Trans,R_W,D_M_I_H,I_C_R,basic_time_diff,Response_time_diff
68,69,0.627471,169.254.83.9,169.254.149.247,Modbus/TCP,75,"   Query: Trans: 41870; Unit:   1, Func:  16: Write Multiple Registers",Query,Write Multiple Registers,1870.0,Write,Multiple,Registers,0.0005220000000000224,0.0011619999999999964
69,70,0.628111,169.254.149.247,169.254.83.9,Modbus/TCP,66,"Response: Trans: 41870; Unit:   1, Func:  16: Write Multiple Registers",Response,Write Multiple Registers,1870.0,Write,Multiple,Registers,0.0006399999999999739,
70,71,0.728087,169.254.83.9,169.254.149.247,Modbus/TCP,66,"   Query: Trans: 41871; Unit:   1, Func:   2: Read Discrete Inputs",Query,Read Discrete Inputs,1871.0,Read,Discrete,Inputs,0.09997600000000006,0.10056200000000004
71,72,0.728673,169.254.149.247,169.254.83.9,Modbus/TCP,64,"Response: Trans: 41871; Unit:   1, Func:   2: Read Discrete Inputs",Response,Read Discrete Inputs,1871.0,Read,Discrete,Inputs,0.0005859999999999754,
72,73,0.729368,169.254.83.9,169.254.149.247,Modbus/TCP,68,"   Query: Trans: 41872; Unit:   1, Func:  15: Write Multiple Coils",Query,Write Multiple Coils,1872.0,Write,Multiple,Coils,0.0006950000000000012,0.0011660000000000004
73,74,0.729839,169.254.149.247,169.254.83.9,Modbus/TCP,66,"Response: Trans: 41872; Unit:   1, Func:  15: Write Multiple Coils",Response,Write Multiple Coils,1872.0,Write,Multiple,Coils,0.0004709999999999992,
74,75,0.730263,169.254.83.9,169.254.149.247,Modbus/TCP,66,"   Query: Trans: 41873; Unit:   1, Func:   4: Read Input Registers",Query,Read Input Registers,1873.0,Read,Input,Registers,0.00042399999999997995,0.0009470000000000312
75,76,0.730786,169.254.149.247,169.254.83.9,Modbus/TCP,71,"Response: Trans: 41873; Unit:   1, Func:   4: Read Input Registers",Response,Read Input Registers,1873.0,Read,Input,Registers,0.0005230000000000512,
76,77,0.731459,169.254.83.9,169.254.149.247,Modbus/TCP,66,"   Query: Trans: 41874; Unit:   1, Func:   3: Read Holding Registers",Query,Read Holding Registers,1874.0,Read,Holding,Registers,0.0006729999999999237,0.0010189999999999921
77,78,0.731805,169.254.149.247,169.254.83.9,Modbus/TCP,71,"Response: Trans: 41874; Unit:   1, Func:   3: Read Holding Registers",Response,Read Holding Registers,1874.0,Read,Holding,Registers,0.0003460000000000685,
78,79,0.732218,169.254.83.9,169.254.149.247,Modbus/TCP,75,"   Query: Trans: 41875; Unit:   1, Func:  16: Write Multiple Registers",Query,Write Multiple Registers,1875.0,Write,Multiple,Registers,0.0004129999999999967,0.0007499999999999174
79,80,0.732555,169.254.149.247,169.254.83.9,Modbus/TCP,66,"Response: Trans: 41875; Unit:   1, Func:  16: Write Multiple Registers",Response,Write Multiple Registers,1875.0,Write,Multiple,Registers,0.0003369999999999207,
82,83,0.831965,169.254.83.9,169.254.149.247,Modbus/TCP,66,"   Query: Trans: 41876; Unit:   1, Func:   2: Read Discrete Inputs",Query,Read Discrete Inputs,1876.0,Read,Discrete,Inputs,0.09941,0.09981700000000004
83,84,0.832372,169.254.149.247,169.254.83.9,Modbus/TCP,64,"Response: Trans: 41876; Unit:   1, Func:   2: Read Discrete Inputs",Response,Read Discrete Inputs,1876.0,Read,Discrete,Inputs,0.0004070000000000462,
84,85,0.832497,169.254.83.9,169.254.149.247,Modbus/TCP,68,"   Query: Trans: 41877; Unit:   1, Func:  15: Write Multiple Coils",Query,Write Multiple Coils,1877.0,Write,Multiple,Coils,0.00012500000000004174,0.0004070000000000462
85,86,0.832779,169.254.149.247,169.254.83.9,Modbus/TCP,66,"Response: Trans: 41877; Unit:   1, Func:  15: Write Multiple Coils",Response,Write Multiple Coils,1877.0,Write,Multiple,Coils,0.00028200000000000447,
86,87,0.832874,169.254.83.9,169.254.149.247,Modbus/TCP,66,"   Query: Trans: 41878; Unit:   1, Func:   4: Read Input Registers",Query,Read Input Registers,1878.0,Read,Input,Registers,9.499999999995623e-05,0.014361999999999986
87,88,0.847141,169.254.149.247,169.254.83.9,Modbus/TCP,71,"Response: Trans: 41878; Unit:   1, Func:   4: Read Input Registers",Response,Read Input Registers,1878.0,Read,Input,Registers,0.01426700000000003,
88,89,0.847361,169.254.83.9,169.254.149.247,Modbus/TCP,66,"   Query: Trans: 41879; Unit:   1, Func:   3: Read Holding Registers",Query,Read Holding Registers,1879.0,Read,Holding,Registers,0.00021999999999999797,0.0007909999999999862
89,90,0.847932,169.254.149.247,169.254.83.9,Modbus/TCP,71,"Response: Trans: 41879; Unit:   1, Func:   3: Read Holding Registers",Response,Read Holding Registers,1879.0,Read,Holding,Registers,0.0005709999999999882,
90,91,0.848137,169.254.83.9,169.254.149.247,Modbus/TCP,75,"   Query: Trans: 41880; Unit:   1, Func:  16: Write Multiple Registers",Query,Write Multiple Registers,1880.0,Write,Multiple,Registers,0.00020500000000001073,0.0006680000000000019
91,92,0.8486,169.254.149.247,169.254.83.9,Modbus/TCP,66,"Response: Trans: 41880; Unit:   1, Func:  16: Write Multiple Registers",Response,Write Multiple Registers,1880.0,Write,Multiple,Registers,0.0004629999999999912,
92,93,0.948078,169.254.83.9,169.254.149.247,Modbus/TCP,66,"   Query: Trans: 41881; Unit:   1, Func:   2: Read Discrete Inputs",Query,Read Discrete Inputs,1881.0,Read,Discrete,Inputs,0.09947799999999996,0.10014899999999993
93,94,0.948749,169.254.149.247,169.254.83.9,Modbus/TCP,64,"Response: Trans: 41881; Unit:   1, Func:   2: Read Discrete Inputs",Response,Read Discrete Inputs,1881.0,Read,Discrete,Inputs,0.0006709999999999772,
94,95,0.949421,169.254.83.9,169.254.149.247,Modbus/TCP,68,"   Query: Trans: 41882; Unit:   1, Func:  15: Write Multiple Coils",Query,Write Multiple Coils,1882.0,Write,Multiple,Coils,0.0006720000000000059,0.0012280000000000069
95,96,0.949977,169.254.149.247,169.254.83.9,Modbus/TCP,66,"Response: Trans: 41882; Unit:   1, Func:  15: Write Multiple Coils",Response,Write Multiple Coils,1882.0,Write,Multiple,Coils,0.0005560000000000009,
96,97,0.950418,169.254.83.9,169.254.149.247,Modbus/TCP,66,"   Query: Trans: 41883; Unit:   1, Func:   4: Read Input Registers",Query,Read Input Registers,1883.0,Read,Input,Registers,0.0004410000000000247,0.0009290000000000687
97,98,0.950906,169.254.149.247,169.254.83.9,Modbus/TCP,71,"Response: Trans: 41883; Unit:   1, Func:   4: Read Input Registers",Response,Read Input Registers,1883.0,Read,Input,Registers,0.00048800000000004395,
98,99,0.95127,169.254.83.9,169.254.149.247,Modbus/TCP,66,"   Query: Trans: 41884; Unit:   1, Func:   3: Read Holding Registers",Query,Read Holding Registers,1884.0,Read,Holding,Registers,0.00036399999999991994,0.0009959999999999969
99,100,0.951902,169.254.149.247,169.254.83.9,Modbus/TCP,71,"Response: Trans: 41884; Unit:   1, Func:   3: Read Holding Registers",Response,Read Holding Registers,1884.0,Read,Holding,Registers,0.0006320000000000769,
100,101,0.952255,169.254.83.9,169.254.149.247,Modbus/TCP,75,"   Query: Trans: 41885; Unit:   1, Func:  16: Write Multiple Registers",Query,Write Multiple Registers,1885.0,Write,Multiple,Registers,0.0003529999999999367,0.0009160000000000279
